uuid,kind,name,edition_type,rarity,release_date,series,brand,licensor,tirage,store_price,floor,listings,ath,atl,ath_date,atl_date,image,veve_url,description,season,start_year
sample-0044-346374,Comic,The Cimmerian #1 (2020),FE,SECRET_RARE,2021-12-05,The Cimmerian #1 (2020),Ablaze,Ablaze,10000,100,618.33,8,2049.23,271.85,2026-07-26,2021-12-25,https://exemple.invalid/i/sample-0044-346374.jpg,https://exemple.invalid/veve/sample-0044-346374,Description de demonstration.,,2021
sample-0045-740993,Comic,Alias #1 (2001),2,SECRET_RARE,2021-10-06,Alias #1 (2001),Marvel,Disney,500,10,440.03,39,1144.91,94.66,2026-07-26,2021-10-17,https://exemple.invalid/i/sample-0045-740993.jpg,https://exemple.invalid/veve/sample-0045-740993,Description de demonstration.,,2021
sample-0046-688914,Comic,Daredevil #168 (1964),65.DEATHS,SECRET_RARE,2021-11-07,Daredevil #168 (1964),Marvel,Disney,1000,20,285.33,28,3124.37,192.58,2026-07-25,2021-11-14,https://exemple.invalid/i/sample-0046-688914.jpg,https://exemple.invalid/veve/sample-0046-688914,Description de demonstration.,,2021
sample-0047-866233,Comic,Avengers vs X-Men #10 (2012),FE,SECRET_RARE,2021-12-08,Avengers vs X-Men #10 (2012),Marvel,Disney,2500,30,4331.77,22,5106.18,260.34,2026-07-22,2021-12-11,https://exemple.invalid/i/sample-0047-866233.jpg,https://exemple.invalid/veve/sample-0047-866233,Description de demonstration.,,2021
sample-0048-457010,Comic,Return of the Jedi #1: Poster Series - Alex Ross Main Cover,AP,COMMON,2021-10-09,Return of the Jedi #1: Poster Series,Marvel,Disney,5000,60,7208.08,71,7386.7,258.26,2026-07-25,2021-10-21,https://exemple.invalid/i/sample-0048-457010.jpg,https://exemple.invalid/veve/sample-0048-457010,Description de demonstration.,,2021
sample-0049-319072,Comic,Zombie Hunter Spider-Man #1,65.DEATHS,,2021-11-10,Zombie Hunter Spider-Man #1,Marvel,Disney,10000,100,2113.42,57,2240.96,316.05,2026-07-27,2021-11-16,https://exemple.invalid/i/sample-0049-319072.jpg,https://exemple.invalid/veve/sample-0049-319072,Description de demonstration.,,2021
sample-0050-596834,Collectible,Ryu Gold,FE,ULTRA_RARE,2021-12-11,Modern Marvel S1,Marvel,Disney,500,10,64357.77,37,497444.81,23.76,2026-07-27,2021-12-01,https://exemple.invalid/i/sample-0050-596834.jpg,https://exemple.invalid/veve/sample-0050-596834,Description de demonstration.,,2021
sample-0051-152125,Collectible,Groot Prime,2,SECRET_RARE,2021-10-12,DC Classics S2,DC,Warner,1000,20,14446.45,86,517036.58,93.87,2026-07-27,2021-10-05,https://exemple.invalid/i/sample-0051-152125.jpg,https://exemple.invalid/veve/sample-0051-152125,Description de demonstration.,,2021
sample-0052-2406,Collectible,Loki,3,ULTRA_RARE,2021-11-13,Cosmic Heroes,Marvel,Disney,2500,30,870357.62,29,4368738.59,136.46,2026-07-27,2021-11-02,https://exemple.invalid/i/sample-0052-2406.jpg,https://exemple.invalid/veve/sample-0052-2406,Description de demonstration.,,2021
sample-0053-15409,Collectible,Joker Variant,2,COMMON,2021-12-14,Retro Arcade,Capcom,Capcom,5000,60,77552019.44,19,277518866.76,538.39,2026-07-27,2021-12-03,https://exemple.invalid/i/sample-0053-15409.jpg,https://exemple.invalid/veve/sample-0053-15409,Description de demonstration.,,2021
sample-0054-738250,Comic,The Cimmerian #1 (2020),AP,COMMON,2021-10-15,The Cimmerian #1 (2020),Ablaze,Ablaze,10000,100,9999999,1,3219.77,329.44,2026-07-27,2021-10-07,https://exemple.invalid/i/sample-0054-738250.jpg,https://exemple.invalid/veve/sample-0054-738250,Description de demonstration.,,2021
sample-0055-726445,Comic,Alias #1 (2001),FA,COMMON,2021-11-16,Alias #1 (2001),Marvel,Disney,500,10,696.11,8,1712.04,68.89,2026-07-22,2021-11-17,,https://exemple.invalid/veve/sample-0055-726445,Description de demonstration.,,2021
sample-0056-145119,Comic,Daredevil #168 (1964),1,COMMON,2021-12-17,Daredevil #168 (1964),Marvel,Disney,1000,20,2217.48,95,3153.14,264.84,2026-07-27,2021-12-06,,https://exemple.invalid/veve/sample-0056-145119,Description de demonstration.,,2021
sample-0057-137110,Comic,Avengers vs X-Men #10 (2012),2,COMMON,2021-10-18,Avengers vs X-Men #10 (2012),Marvel,Disney,2500,30,1120.34,39,3221,198.56,2026-07-25,2021-10-19,https://exemple.invalid/i/sample-0057-137110.jpg,https://exemple.invalid/veve/sample-0057-137110,Description de demonstration.,,2021
sample-0058-494542,Comic,Return of the Jedi #1: Poster Series - Adi Granov Main Cover,3,UNCOMMON,2021-11-19,Return of the Jedi #1: Poster Series,Marvel,Disney,5000,60,863.73,5,2093.82,400.62,2026-07-27,2021-11-09,https://exemple.invalid/i/sample-0058-494542.jpg,https://exemple.invalid/veve/sample-0058-494542,Description de demonstration.,,2021
sample-0059-153726,Comic,Zombie Hunter Spider-Man #1,FE,,2021-12-20,Zombie Hunter Spider-Man #1,Marvel,Disney,10000,100,20007.58,31,23134.46,665.71,2026-07-26,2021-12-16,https://exemple.invalid/i/sample-0059-153726.jpg,https://exemple.invalid/veve/sample-0059-153726,Description de demonstration.,,2021
sample-0060-819385,Collectible,Spider-Man,FA,UNCOMMON,2021-10-01,Modern Marvel S1,Marvel,Disney,500,10,238259.51,32,7712368.67,103.33,2026-07-27,2021-10-08,,https://exemple.invalid/veve/sample-0060-819385,Description de demonstration.,,2021
sample-0061-143424,Collectible,Iron Man Variant,FA,RARE,2021-11-02,DC Classics S2,DC,Warner,1000,20,85751.33,88,4840583.21,89.73,2026-07-27,2021-11-01,https://exemple.invalid/i/sample-0061-143424.jpg,https://exemple.invalid/veve/sample-0061-143424,Description de demonstration.,,2021
sample-0062-342290,Collectible,Batman Gold,CE,RARE,2021-12-03,Cosmic Heroes,Marvel,Disney,2500,30,3769.3,36,143507.57,238.17,2026-07-27,2021-12-08,,https://exemple.invalid/veve/sample-0062-342290,Description de demonstration.,,2021
sample-0063-533718,Collectible,Superman Prime,FE,COMMON,2021-10-04,Retro Arcade,Capcom,Capcom,5000,60,6618995.68,7,59900284.18,337.29,2026-07-27,2021-10-05,https://exemple.invalid/i/sample-0063-533718.jpg,https://exemple.invalid/veve/sample-0063-533718,Description de demonstration.,,2021
sample-0064-113744,Comic,The Cimmerian #1 (2020),2,UNCOMMON,2021-11-05,The Cimmerian #1 (2020),Ablaze,Ablaze,10000,100,13631.78,22,18524.63,757.59,2026-07-25,2021-11-20,https://exemple.invalid/i/sample-0064-113744.jpg,https://exemple.invalid/veve/sample-0064-113744,Description de demonstration.,,2021
sample-0065-656586,Comic,Alias #1 (2001),65.DEATHS,UNCOMMON,2021-12-06,Alias #1 (2001),Marvel,Disney,500,10,579.19,9,1083.47,85.09,2026-07-26,2021-12-27,https://exemple.invalid/i/sample-0065-656586.jpg,https://exemple.invalid/veve/sample-0065-656586,Description de demonstration.,,2021
sample-0066-145027,Comic,Daredevil #168 (1964),,UNCOMMON,2021-10-07,Daredevil #168 (1964),Marvel,Disney,1000,20,1223.47,31,1998.33,142.21,2026-07-21,2021-10-08,https://exemple.invalid/i/sample-0066-145027.jpg,https://exemple.invalid/veve/sample-0066-145027,Description de demonstration.,,2021
sample-0067-867808,Comic,Avengers vs X-Men #10 (2012),AP,UNCOMMON,2021-11-08,Avengers vs X-Men #10 (2012),Marvel,Disney,2500,30,1793.11,10,2583.42,346.95,2026-07-27,2021-11-27,https://exemple.invalid/i/sample-0067-867808.jpg,https://exemple.invalid/veve/sample-0067-867808,Description de demonstration.,,2021
sample-0068-838590,Comic,Return of the Jedi #1: Poster Series - Bill Sienkiewicz Original Main Cover,FE,COMMON,2021-12-09,Return of the Jedi #1: Poster Series,Marvel,Disney,5000,60,3622.53,5,7895.66,565.2,2026-07-26,2021-12-10,https://exemple.invalid/i/sample-0068-838590.jpg,https://exemple.invalid/veve/sample-0068-838590,Description de demonstration.,,2021
sample-0069-688914,Comic,Zombie Hunter Spider-Man #1,65.DEATHS,,2021-10-10,Zombie Hunter Spider-Man #1,Marvel,Disney,10000,100,1361.41,24,15621.85,962.92,2026-07-24,2021-10-14,https://exemple.invalid/i/sample-0069-688914.jpg,https://exemple.invalid/veve/sample-0069-688914,Description de demonstration.,,2021
sample-0070-277976,Collectible,Ryu Gold,3,ULTRA_RARE,2021-11-11,Modern Marvel S1,Marvel,Disney,500,10,226258.11,90,5724610.26,124.01,2026-07-27,2021-11-02,https://exemple.invalid/i/sample-0070-277976.jpg,https://exemple.invalid/veve/sample-0070-277976,Description de demonstration.,,2021
sample-0071-23598,Collectible,Groot Prime,FA,COMMON,2021-12-12,DC Classics S2,DC,Warner,1000,20,191534.28,31,3559631.51,164.11,2026-07-26,2021-12-02,https://exemple.invalid/i/sample-0071-23598.jpg,https://exemple.invalid/veve/sample-0071-23598,Description de demonstration.,,2021
sample-0072-836935,Collectible,Loki,3,ULTRA_RARE,2021-10-13,Cosmic Heroes,Marvel,Disney,2500,30,2356246.58,28,58753417.55,212.16,2026-07-27,2021-10-01,https://exemple.invalid/i/sample-0072-836935.jpg,https://exemple.invalid/veve/sample-0072-836935,Description de demonstration.,,2021
sample-0073-773026,Collectible,Joker Variant,FA,ULTRA_RARE,2021-11-14,Retro Arcade,Capcom,Capcom,5000,60,2162811.36,50,76674960.61,611.61,2026-07-27,2021-11-04,https://exemple.invalid/i/sample-0073-773026.jpg,https://exemple.invalid/veve/sample-0073-773026,Description de demonstration.,,2021
sample-0074-242663,Comic,The Cimmerian #1 (2020),FE,RARE,2021-12-15,The Cimmerian #1 (2020),Ablaze,Ablaze,10000,100,2626.58,8,4234.3,715.11,2026-07-25,2021-12-03,https://exemple.invalid/i/sample-0074-242663.jpg,https://exemple.invalid/veve/sample-0074-242663,Description de demonstration.,,2021
sample-0075-817039,Comic,Alias #1 (2001),,RARE,2021-10-16,Alias #1 (2001),Marvel,Disney,500,10,9999999,1,1988.2,129.49,2026-07-25,2021-10-16,https://exemple.invalid/i/sample-0075-817039.jpg,https://exemple.invalid/veve/sample-0075-817039,Description de demonstration.,,2021
sample-0076-349027,Comic,Daredevil #168 (1964),2,RARE,2021-11-17,Daredevil #168 (1964),Marvel,Disney,1000,20,7568.34,5,8862.91,225,2026-07-25,2021-11-04,https://exemple.invalid/i/sample-0076-349027.jpg,https://exemple.invalid/veve/sample-0076-349027,Description de demonstration.,,2021
sample-0077-337132,Comic,Avengers vs X-Men #10 (2012),65.DEATHS,RARE,2021-12-18,Avengers vs X-Men #10 (2012),Marvel,Disney,2500,30,5677.38,8,9959.93,329.06,2026-07-27,2021-12-06,https://exemple.invalid/i/sample-0077-337132.jpg,https://exemple.invalid/veve/sample-0077-337132,Description de demonstration.,,2021
sample-0078-63899,Comic,Return of the Jedi #1: Poster Series - Todd McFarlane Variant,FE,UNCOMMON,2021-10-19,Return of the Jedi #1: Poster Series,Marvel,Disney,5000,60,4196.15,100,6408.06,481.42,2026-07-22,2021-10-05,https://exemple.invalid/i/sample-0078-63899.jpg,https://exemple.invalid/veve/sample-0078-63899,Description de demonstration.,,2021
sample-0079-146339,Comic,Zombie Hunter Spider-Man #1,2,,2021-11-20,Zombie Hunter Spider-Man #1,Marvel,Disney,10000,100,9999999,1,14534.94,1334.43,2026-07-25,2021-11-05,https://exemple.invalid/i/sample-0079-146339.jpg,https://exemple.invalid/veve/sample-0079-146339,Description de demonstration.,,2021
sample-0080-582506,Collectible,Spider-Man,AP,COMMON,2021-12-01,Modern Marvel S1,Marvel,Disney,500,10,119256.64,61,15260689.97,34.87,2026-07-27,2021-12-02,https://exemple.invalid/i/sample-0080-582506.jpg,https://exemple.invalid/veve/sample-0080-582506,Description de demonstration.,,2021
sample-0081-789669,Collectible,Iron Man Variant,FE,RARE,2021-10-02,DC Classics S2,DC,Warner,1000,20,9999999,1,199300.08,62.17,2026-07-25,2021-10-09,https://exemple.invalid/i/sample-0081-789669.jpg,https://exemple.invalid/veve/sample-0081-789669,Description de demonstration.,,2021
sample-0082-817975,Collectible,Batman Gold,AP,COMMON,2021-11-03,Cosmic Heroes,Marvel,Disney,2500,30,60955.16,12,4665785.95,234.87,2026-07-27,2021-11-01,https://exemple.invalid/i/sample-0082-817975.jpg,https://exemple.invalid/veve/sample-0082-817975,Description de demonstration.,,2021
sample-0083-918789,Collectible,Superman Prime,AP,UNCOMMON,2021-12-04,Retro Arcade,Capcom,Capcom,5000,60,3197046.99,97,8006997.36,349.82,2026-07-27,2021-12-09,https://exemple.invalid/i/sample-0083-918789.jpg,https://exemple.invalid/veve/sample-0083-918789,Description de demonstration.,,2021
sample-0084-438885,Comic,The Cimmerian #1 (2020),CE,ULTRA_RARE,2021-10-05,The Cimmerian #1 (2020),Ablaze,Ablaze,10000,100,2038.85,6,6527.67,996.25,2026-07-26,2021-10-23,,https://exemple.invalid/veve/sample-0084-438885,Description de demonstration.,,2021
sample-0085-572361,Comic,Alias #1 (2001),CE,ULTRA_RARE,2021-11-06,Alias #1 (2001),Marvel,Disney,500,10,220.25,53,870.93,89.44,2026-07-27,2021-11-13,https://exemple.invalid/i/sample-0085-572361.jpg,https://exemple.invalid/veve/sample-0085-572361,Description de demonstration.,,2021
sample-0086-171625,Comic,Daredevil #168 (1964),3,ULTRA_RARE,2021-12-07,Daredevil #168 (1964),Marvel,Disney,1000,20,9999999,1,1601.53,52.92,2026-07-27,2021-12-05,https://exemple.invalid/i/sample-0086-171625.jpg,https://exemple.invalid/veve/sample-0086-171625,Description de demonstration.,,2021
