veve_uuid,ts_utc,floor,listings
sample-0000-582307,2022-03-15T00:00:00Z,19757383.34,26
sample-0000-582307,2022-03-22T00:00:00Z,15903342.66,24
sample-0000-582307,2022-03-23T00:00:00Z,9951203.83,28
sample-0000-582307,2022-04-05T00:00:00Z,8199358.36,20
sample-0000-582307,2022-04-06T00:00:00Z,8046432.7,16
sample-0000-582307,2022-04-11T00:00:00Z,15416607.28,24
sample-0000-582307,2022-04-11T00:00:00Z,10547160.93,27
sample-0000-582307,2022-04-17T00:00:00Z,18177775.17,28
sample-0000-582307,2022-04-19T00:00:00Z,18196177.42,24
sample-0000-582307,2022-04-19T00:00:00Z,10152635.65,30
sample-0000-582307,2022-04-19T00:00:00Z,9877862.91,26
sample-0000-582307,2022-04-23T00:00:00Z,9409959.02,24
sample-0000-582307,2022-04-24T00:00:00Z,12489237.8,27
sample-0000-582307,2022-04-25T00:00:00Z,14660865.47,25
sample-0000-582307,2022-04-25T00:00:00Z,14741529.34,28
sample-0000-582307,2022-05-01T00:00:00Z,6023668.87,16
sample-0000-582307,2022-05-19T00:00:00Z,6949222.11,13
sample-0000-582307,2022-05-19T00:00:00Z,5007199.79,16
sample-0000-582307,2022-05-21T00:00:00Z,5472428.71,15
sample-0000-582307,2022-06-02T00:00:00Z,3893543.19,11
sample-0000-582307,2022-06-02T00:00:00Z,2006351.26,17
sample-0000-582307,2022-06-05T00:00:00Z,2786086.23,14
sample-0000-582307,2022-06-08T00:00:00Z,2877591.74,11
sample-0000-582307,2022-06-09T00:00:00Z,1821868.1,14
sample-0000-582307,2022-06-12T00:00:00Z,2833064.53,11
sample-0000-582307,2022-06-15T00:00:00Z,3401043.84,13
sample-0000-582307,2022-06-15T00:00:00Z,2404050.73,13
sample-0000-582307,2022-06-16T00:00:00Z,2358919.74,17
sample-0000-582307,2022-06-18T00:00:00Z,4610269.14,12
sample-0000-582307,2022-06-19T00:00:00Z,3117996.52,9
sample-0000-582307,2022-06-19T00:00:00Z,2430994.99,15
sample-0000-582307,2022-07-05T00:00:00Z,1622702.69,15
sample-0000-582307,2022-07-07T00:00:00Z,1083048.61,13
sample-0000-582307,2022-07-12T00:00:00Z,1437437.62,15
sample-0000-582307,2022-07-13T00:00:00Z,1234465.05,16
sample-0000-582307,2022-07-18T00:00:00Z,1154536.83,10
sample-0000-582307,2022-07-20T00:00:00Z,1240865.46,12
sample-0000-582307,2022-07-24T00:00:00Z,1258301.07,14
sample-0000-582307,2022-07-25T00:00:00Z,1113935.63,14
sample-0000-582307,2022-08-04T00:00:00Z,805603.22,7
sample-0000-582307,2022-08-05T00:00:00Z,1043761.88,1
sample-0000-582307,2022-08-06T00:00:00Z,794367.17,4
sample-0000-582307,2022-08-09T00:00:00Z,586196.43,10
sample-0000-582307,2022-08-11T00:00:00Z,618791.46,6
sample-0000-582307,2022-08-15T00:00:00Z,907052.72,3
sample-0000-582307,2022-08-16T00:00:00Z,765606.41,6
sample-0000-582307,2022-08-18T00:00:00Z,1079985.94,5
sample-0000-582307,2022-08-20T00:00:00Z,783628.5,10
sample-0000-582307,2022-08-23T00:00:00Z,1043290.24,9
sample-0000-582307,2022-08-26T00:00:00Z,930428.4,2
sample-0000-582307,2022-08-27T00:00:00Z,696484.95,10
sample-0000-582307,2022-09-08T00:00:00Z,441754.17,10
sample-0000-582307,2022-09-09T00:00:00Z,447855.87,8
sample-0000-582307,2022-09-10T00:00:00Z,527825.37,9
sample-0000-582307,2022-09-25T00:00:00Z,387663.14,8
sample-0000-582307,2022-10-07T00:00:00Z,391487.73,5
sample-0000-582307,2022-10-07T00:00:00Z,405148.38,3
sample-0000-582307,2022-10-10T00:00:00Z,393655.06,8
sample-0000-582307,2022-10-11T00:00:00Z,410817.6,4
sample-0000-582307,2022-11-04T00:00:00Z,249688.55,16
sample-0000-582307,2022-11-16T00:00:00Z,285703.08,13
sample-0000-582307,2022-11-19T00:00:00Z,339926.53,10
sample-0000-582307,2022-11-24T00:00:00Z,213916.32,20
sample-0000-582307,2022-12-10T00:00:00Z,218546.1,16
sample-0000-582307,2022-12-16T00:00:00Z,226380.74,9
sample-0000-582307,2022-12-18T00:00:00Z,219725.88,19
sample-0000-582307,2022-12-21T00:00:00Z,219271.43,10
sample-0000-582307,2022-12-21T00:00:00Z,237702.39,11
sample-0000-582307,2022-12-24T00:00:00Z,245317.06,7
sample-0000-582307,2022-12-25T00:00:00Z,263623.46,11
sample-0000-582307,2022-12-26T00:00:00Z,234399.1,12
sample-0000-582307,2023-01-01T00:00:00Z,248481.12,13
sample-0000-582307,2023-01-09T00:00:00Z,240482.32,3
sample-0000-582307,2023-01-21T00:00:00Z,240142.45,6
sample-0000-582307,2023-01-24T00:00:00Z,256568.12,9
sample-0000-582307,2023-02-04T00:00:00Z,294725.45,12
sample-0000-582307,2023-02-07T00:00:00Z,318174.77,9
sample-0000-582307,2023-02-08T00:00:00Z,270702.58,13
sample-0000-582307,2023-02-09T00:00:00Z,314115.02,14
sample-0000-582307,2023-02-13T00:00:00Z,267163.29,9
sample-0000-582307,2023-02-17T00:00:00Z,335658.26,13
sample-0000-582307,2023-02-18T00:00:00Z,281150.01,8
sample-0000-582307,2023-02-19T00:00:00Z,298816.43,11
sample-0000-582307,2023-02-19T00:00:00Z,286708.96,10
sample-0000-582307,2023-02-24T00:00:00Z,283002.65,8
sample-0000-582307,2023-02-25T00:00:00Z,312967.94,11
sample-0000-582307,2023-02-27T00:00:00Z,328068.29,13
sample-0000-582307,2023-03-02T00:00:00Z,366803.74,16
sample-0000-582307,2023-03-05T00:00:00Z,376039.69,23
sample-0000-582307,2023-03-08T00:00:00Z,372274.92,21
sample-0000-582307,2023-03-09T00:00:00Z,408261.04,19
sample-0000-582307,2023-03-16T00:00:00Z,403464.27,19
sample-0000-582307,2023-03-17T00:00:00Z,406460.75,23
sample-0000-582307,2023-03-23T00:00:00Z,395692.06,20
sample-0000-582307,2023-03-26T00:00:00Z,410598.42,23
sample-0000-582307,2023-04-03T00:00:00Z,394598.14,19
sample-0000-582307,2023-04-05T00:00:00Z,369552.37,18
sample-0000-582307,2023-04-06T00:00:00Z,378152.08,10
sample-0000-582307,2023-04-07T00:00:00Z,415982.01,9
sample-0000-582307,2023-04-09T00:00:00Z,350087.36,14
sample-0000-582307,2023-04-21T00:00:00Z,393680.83,15
sample-0000-582307,2023-04-23T00:00:00Z,413300.02,11
sample-0000-582307,2023-04-23T00:00:00Z,417677.87,15
sample-0000-582307,2023-05-05T00:00:00Z,467441.18,12
sample-0000-582307,2023-05-05T00:00:00Z,462596.83,12
sample-0000-582307,2023-05-06T00:00:00Z,483076.18,12
sample-0000-582307,2023-05-15T00:00:00Z,454799.01,17
sample-0000-582307,2023-05-15T00:00:00Z,462537.65,9
sample-0000-582307,2023-05-21T00:00:00Z,507217.48,8
sample-0000-582307,2023-05-23T00:00:00Z,489218.77,15
sample-0000-582307,2023-05-25T00:00:00Z,513474.5,9
sample-0000-582307,2023-06-01T00:00:00Z,535760.36,21
sample-0000-582307,2023-06-01T00:00:00Z,577824.09,35
sample-0000-582307,2023-06-10T00:00:00Z,694516.49,32
sample-0000-582307,2023-06-11T00:00:00Z,508361.88,15
sample-0000-582307,2023-06-13T00:00:00Z,590894.56,23
sample-0000-582307,2023-06-16T00:00:00Z,494167.32,19
sample-0000-582307,2023-06-18T00:00:00Z,626644.01,27
sample-0000-582307,2023-06-21T00:00:00Z,575833.42,21
sample-0000-582307,2023-06-21T00:00:00Z,669885.65,31
sample-0000-582307,2023-06-23T00:00:00Z,627662.73,32
sample-0000-582307,2023-06-26T00:00:00Z,614960.61,32
sample-0000-582307,2023-06-27T00:00:00Z,635990.77,31
sample-0000-582307,2023-07-05T00:00:00Z,570625.96,35
sample-0000-582307,2023-07-06T00:00:00Z,486655.39,34
sample-0000-582307,2023-07-13T00:00:00Z,566431.11,32
sample-0000-582307,2023-07-15T00:00:00Z,546662.33,33
sample-0000-582307,2023-07-17T00:00:00Z,500782.55,37
sample-0000-582307,2023-07-21T00:00:00Z,580370.14,35
sample-0000-582307,2023-07-22T00:00:00Z,524695.53,31
sample-0000-582307,2023-07-27T00:00:00Z,595381.21,32
sample-0000-582307,2023-08-01T00:00:00Z,543838.65,38
sample-0000-582307,2023-08-03T00:00:00Z,512054.05,34
sample-0000-582307,2023-08-10T00:00:00Z,627537.67,35
sample-0000-582307,2023-08-13T00:00:00Z,599901.92,32
sample-0000-582307,2023-08-13T00:00:00Z,547931.65,32
sample-0000-582307,2023-08-16T00:00:00Z,621304.84,34
sample-0000-582307,2023-08-17T00:00:00Z,654993.29,33
sample-0000-582307,2023-08-25T00:00:00Z,510307,38
sample-0000-582307,2023-09-12T00:00:00Z,580819.85,36
sample-0000-582307,2023-09-14T00:00:00Z,635142.67,35
sample-0000-582307,2023-09-14T00:00:00Z,664716.44,36
sample-0000-582307,2023-09-21T00:00:00Z,671807.58,33
sample-0000-582307,2023-10-02T00:00:00Z,652337.79,34
sample-0000-582307,2023-10-13T00:00:00Z,668484.03,37
sample-0000-582307,2023-10-15T00:00:00Z,660012.15,38
sample-0000-582307,2023-10-27T00:00:00Z,622478.58,35
sample-0000-582307,2023-11-01T00:00:00Z,742322.46,25
sample-0000-582307,2023-11-01T00:00:00Z,781296.82,19
sample-0000-582307,2023-11-02T00:00:00Z,767850.24,21
sample-0000-582307,2023-11-08T00:00:00Z,665768.19,34
sample-0000-582307,2023-11-18T00:00:00Z,711609.21,32
sample-0000-582307,2023-11-19T00:00:00Z,710663.45,29
sample-0000-582307,2023-11-23T00:00:00Z,672110.99,35
sample-0000-582307,2023-11-25T00:00:00Z,643262.55,33
sample-0000-582307,2023-12-13T00:00:00Z,869366.52,21
sample-0000-582307,2023-12-13T00:00:00Z,936230.24,24
sample-0000-582307,2023-12-13T00:00:00Z,891172.29,26
sample-0000-582307,2023-12-14T00:00:00Z,820596.85,30
sample-0000-582307,2024-01-04T00:00:00Z,749435.09,31
sample-0000-582307,2024-01-09T00:00:00Z,720357.43,38
sample-0000-582307,2024-01-13T00:00:00Z,709366.93,34
sample-0000-582307,2024-01-25T00:00:00Z,798364.21,35
sample-0000-582307,2024-02-03T00:00:00Z,813595.79,33
sample-0000-582307,2024-02-05T00:00:00Z,875416.35,39
sample-0000-582307,2024-02-05T00:00:00Z,852875.17,36
sample-0000-582307,2024-02-08T00:00:00Z,791595.97,31
sample-0000-582307,2024-02-12T00:00:00Z,828770.92,36
sample-0000-582307,2024-02-20T00:00:00Z,793172.3,35
sample-0000-582307,2024-02-20T00:00:00Z,791895.55,39
sample-0000-582307,2024-02-21T00:00:00Z,755517.01,36
sample-0000-582307,2024-02-21T00:00:00Z,855277.41,37
sample-0000-582307,2024-02-24T00:00:00Z,737959.39,35
sample-0000-582307,2024-02-25T00:00:00Z,901372.49,32
sample-0000-582307,2024-02-26T00:00:00Z,902335.76,35
sample-0000-582307,2024-03-02T00:00:00Z,679996.28,36
sample-0000-582307,2024-03-12T00:00:00Z,746163.87,36
sample-0000-582307,2024-03-14T00:00:00Z,664840.95,37
sample-0000-582307,2024-03-21T00:00:00Z,720917.9,40
sample-0000-582307,2024-04-09T00:00:00Z,588434.82,38
sample-0000-582307,2024-04-11T00:00:00Z,634344.52,33
sample-0000-582307,2024-04-13T00:00:00Z,595857.28,35
sample-0000-582307,2024-04-24T00:00:00Z,639241.78,35
sample-0000-582307,2024-05-02T00:00:00Z,575134.5,38
sample-0000-582307,2024-05-02T00:00:00Z,524967.25,34
sample-0000-582307,2024-05-11T00:00:00Z,573010.38,34
sample-0000-582307,2024-05-24T00:00:00Z,560162.45,36
sample-0000-582307,2024-06-14T00:00:00Z,767648.32,29
sample-0000-582307,2024-06-18T00:00:00Z,788297.14,32
sample-0000-582307,2024-06-19T00:00:00Z,603059.25,33
sample-0000-582307,2024-06-21T00:00:00Z,648605.27,30
sample-0000-582307,2024-06-22T00:00:00Z,645272.1,30
sample-0000-582307,2024-06-22T00:00:00Z,685261.87,29
sample-0000-582307,2024-06-24T00:00:00Z,588815.28,32
sample-0000-582307,2024-06-26T00:00:00Z,752106.33,30
sample-0000-582307,2024-07-03T00:00:00Z,852355.93,30
sample-0000-582307,2024-07-05T00:00:00Z,808165.6,30
sample-0000-582307,2024-07-05T00:00:00Z,761632.8,29
sample-0000-582307,2024-07-24T00:00:00Z,847663.25,30
sample-0000-582307,2024-08-01T00:00:00Z,851066.14,29
sample-0000-582307,2024-08-01T00:00:00Z,900136.36,25
sample-0000-582307,2024-08-01T00:00:00Z,1082377.5,29
sample-0000-582307,2024-08-01T00:00:00Z,1328215.55,30
sample-0000-582307,2024-08-03T00:00:00Z,835022.76,26
sample-0000-582307,2024-08-06T00:00:00Z,868067.29,25
sample-0000-582307,2024-08-10T00:00:00Z,988834.68,27
sample-0000-582307,2024-08-16T00:00:00Z,1084215.85,27
sample-0000-582307,2024-08-22T00:00:00Z,1197943.74,30
sample-0000-582307,2024-08-22T00:00:00Z,1279634.5,31
sample-0000-582307,2024-08-26T00:00:00Z,1326605.07,27
sample-0000-582307,2024-08-27T00:00:00Z,1250258.57,29
sample-0000-582307,2024-09-02T00:00:00Z,1312968.95,27
sample-0000-582307,2024-09-05T00:00:00Z,2259804.33,26
sample-0000-582307,2024-09-08T00:00:00Z,2125670.55,29
sample-0000-582307,2024-09-10T00:00:00Z,1964216.44,30
sample-0000-582307,2024-09-14T00:00:00Z,1430042.76,31
sample-0000-582307,2024-09-17T00:00:00Z,1452990.03,35
sample-0000-582307,2024-09-20T00:00:00Z,1941773.67,28
sample-0000-582307,2024-09-22T00:00:00Z,1554707.55,31
sample-0000-582307,2024-09-22T00:00:00Z,1804155.88,29
sample-0000-582307,2024-09-26T00:00:00Z,1563800.11,35
sample-0000-582307,2024-09-26T00:00:00Z,1684058.28,37
sample-0000-582307,2024-09-27T00:00:00Z,1789442.68,33
sample-0000-582307,2024-10-01T00:00:00Z,1857589.09,20
sample-0000-582307,2024-10-08T00:00:00Z,2007809.48,23
sample-0000-582307,2024-10-09T00:00:00Z,2132025.88,24
sample-0000-582307,2024-10-11T00:00:00Z,1973837.19,20
sample-0000-582307,2024-11-02T00:00:00Z,1547493.85,17
sample-0000-582307,2024-11-06T00:00:00Z,1685490.44,23
sample-0000-582307,2024-11-14T00:00:00Z,1645086.9,20
sample-0000-582307,2024-11-15T00:00:00Z,1773655.95,19
sample-0000-582307,2024-12-04T00:00:00Z,1482246.95,17
sample-0000-582307,2024-12-09T00:00:00Z,1408412.41,15
sample-0000-582307,2024-12-09T00:00:00Z,1276119.51,16
sample-0000-582307,2024-12-13T00:00:00Z,1439898.67,21
sample-0000-582307,2025-01-02T00:00:00Z,1184271.45,14
sample-0000-582307,2025-01-03T00:00:00Z,1109128.7,18
sample-0000-582307,2025-01-06T00:00:00Z,1000569.84,20
sample-0000-582307,2025-01-07T00:00:00Z,1231594.15,19
sample-0000-582307,2025-01-16T00:00:00Z,1142738,18
sample-0000-582307,2025-01-21T00:00:00Z,1206281.77,15
sample-0000-582307,2025-01-23T00:00:00Z,1319200.63,12
sample-0000-582307,2025-01-24T00:00:00Z,1105915.73,15
sample-0000-582307,2025-02-01T00:00:00Z,1279642.38,13
sample-0000-582307,2025-02-02T00:00:00Z,1384445.25,12
sample-0000-582307,2025-02-02T00:00:00Z,1165342.04,12
sample-0000-582307,2025-02-03T00:00:00Z,968153.32,14
sample-0000-582307,2025-02-06T00:00:00Z,906121.95,14
sample-0000-582307,2025-02-06T00:00:00Z,1018366.52,13
sample-0000-582307,2025-02-10T00:00:00Z,1110215.24,12
sample-0000-582307,2025-02-10T00:00:00Z,1250777.4,10
sample-0000-582307,2025-02-16T00:00:00Z,1031275.88,15
sample-0000-582307,2025-02-24T00:00:00Z,1181146.55,10
sample-0000-582307,2025-02-25T00:00:00Z,964324.95,17
sample-0000-582307,2025-02-27T00:00:00Z,943417.65,17
sample-0000-582307,2025-03-08T00:00:00Z,1190070.17,15
sample-0000-582307,2025-03-13T00:00:00Z,1220379.11,13
sample-0000-582307,2025-03-14T00:00:00Z,1187411.95,10
sample-0000-582307,2025-03-16T00:00:00Z,1173662.1,12
sample-0000-582307,2025-04-05T00:00:00Z,1223465.85,14
sample-0000-582307,2025-04-06T00:00:00Z,1172900.58,14
sample-0000-582307,2025-04-08T00:00:00Z,1350740.68,12
sample-0000-582307,2025-04-14T00:00:00Z,1320485.69,11
sample-0000-582307,2025-05-04T00:00:00Z,1218962.9,12
sample-0000-582307,2025-05-17T00:00:00Z,1227735.33,15
sample-0000-582307,2025-05-20T00:00:00Z,1331738.12,11
sample-0000-582307,2025-05-26T00:00:00Z,1107549.38,13
sample-0000-582307,2025-06-03T00:00:00Z,1190621.01,17
sample-0000-582307,2025-06-10T00:00:00Z,1127899.75,16
sample-0000-582307,2025-06-17T00:00:00Z,1249003.28,19
sample-0000-582307,2025-06-17T00:00:00Z,1205403.17,19
sample-0000-582307,2025-07-04T00:00:00Z,1101705.36,23
sample-0000-582307,2025-07-06T00:00:00Z,1019748.6,19
sample-0000-582307,2025-07-13T00:00:00Z,1225503.24,23
sample-0000-582307,2025-07-15T00:00:00Z,1092616.82,18
sample-0000-582307,2025-08-04T00:00:00Z,1263340.17,29
sample-0000-582307,2025-08-05T00:00:00Z,1214385.32,26
sample-0000-582307,2025-08-07T00:00:00Z,1217680.83,28
sample-0000-582307,2025-08-12T00:00:00Z,1172554.39,25
sample-0000-582307,2025-08-15T00:00:00Z,1183886.58,29
sample-0000-582307,2025-08-21T00:00:00Z,1205644.74,27
sample-0000-582307,2025-08-22T00:00:00Z,1360664.95,24
sample-0000-582307,2025-08-23T00:00:00Z,1286526.81,23
sample-0000-582307,2025-09-03T00:00:00Z,1012220.17,31
sample-0000-582307,2025-09-06T00:00:00Z,947479.34,28
sample-0000-582307,2025-09-14T00:00:00Z,1083524.93,31
sample-0000-582307,2025-09-16T00:00:00Z,1088364.02,29
sample-0000-582307,2025-09-17T00:00:00Z,974279.1,26
sample-0000-582307,2025-09-22T00:00:00Z,1096565.38,31
sample-0000-582307,2025-09-23T00:00:00Z,935499.24,30
sample-0000-582307,2025-09-25T00:00:00Z,1008637.45,30
sample-0000-582307,2025-10-06T00:00:00Z,1069835.49,21
sample-0000-582307,2025-10-08T00:00:00Z,1095875.39,12
sample-0000-582307,2025-10-09T00:00:00Z,1106904.77,15
sample-0000-582307,2025-10-10T00:00:00Z,1218495.8,13
sample-0000-582307,2025-10-11T00:00:00Z,1001394.56,25
sample-0000-582307,2025-10-12T00:00:00Z,980574.78,29
sample-0000-582307,2025-10-13T00:00:00Z,1101726.67,18
sample-0000-582307,2025-10-14T00:00:00Z,1031231.3,12
sample-0000-582307,2025-10-19T00:00:00Z,1015977.29,16
sample-0000-582307,2025-10-22T00:00:00Z,963923.95,28
sample-0000-582307,2025-10-24T00:00:00Z,948586.95,32
sample-0000-582307,2025-10-25T00:00:00Z,1021435.4,14
sample-0000-582307,2025-11-09T00:00:00Z,1087501.35,14
sample-0000-582307,2025-11-19T00:00:00Z,1109948.13,12
sample-0000-582307,2025-11-19T00:00:00Z,990135.76,16
sample-0000-582307,2025-11-23T00:00:00Z,1099054.14,13
sample-0000-582307,2025-12-01T00:00:00Z,1168840.85,11
sample-0000-582307,2025-12-02T00:00:00Z,1260985.52,10
sample-0000-582307,2025-12-07T00:00:00Z,937906.34,16
sample-0000-582307,2025-12-09T00:00:00Z,1008506.86,16
sample-0000-582307,2025-12-10T00:00:00Z,1060831.48,12
sample-0000-582307,2025-12-19T00:00:00Z,932312.63,14
sample-0000-582307,2025-12-21T00:00:00Z,1223926.83,14
sample-0000-582307,2025-12-24T00:00:00Z,1265819.75,11
sample-0000-582307,2026-01-01T00:00:00Z,1197475.87,21
sample-0000-582307,2026-01-03T00:00:00Z,1274893.82,18
sample-0000-582307,2026-01-05T00:00:00Z,1088628.73,13
sample-0000-582307,2026-01-06T00:00:00Z,1116191.96,13
sample-0000-582307,2026-01-06T00:00:00Z,1331336.17,22
sample-0000-582307,2026-01-07T00:00:00Z,1170722.08,16
sample-0000-582307,2026-01-14T00:00:00Z,1212126.98,20
sample-0000-582307,2026-01-19T00:00:00Z,1082122.45,16
sample-0000-582307,2026-01-20T00:00:00Z,1204364.3,23
sample-0000-582307,2026-01-23T00:00:00Z,1029902.5,17
sample-0000-582307,2026-01-26T00:00:00Z,1144977.97,16
sample-0000-582307,2026-01-27T00:00:00Z,1186576.54,19
sample-0000-582307,2026-02-01T00:00:00Z,1288389.64,25
sample-0000-582307,2026-02-08T00:00:00Z,1124588.51,22
sample-0000-582307,2026-02-09T00:00:00Z,1119941.31,23
sample-0000-582307,2026-02-24T00:00:00Z,1231552.38,26
sample-0000-582307,2026-03-04T00:00:00Z,1074805.32,30
sample-0000-582307,2026-03-08T00:00:00Z,1118823.22,26
sample-0000-582307,2026-03-16T00:00:00Z,1039874.41,28
sample-0000-582307,2026-03-24T00:00:00Z,1113893.87,28
sample-0000-582307,2026-04-01T00:00:00Z,1074471.96,24
sample-0000-582307,2026-04-04T00:00:00Z,1014752.6,19
sample-0000-582307,2026-04-26T00:00:00Z,1025106.18,28
sample-0000-582307,2026-04-26T00:00:00Z,1037055.03,22
sample-0000-582307,2026-05-02T00:00:00Z,1012426.4,18
sample-0000-582307,2026-05-02T00:00:00Z,748532.87,26
sample-0000-582307,2026-05-02T00:00:00Z,723319.8,14
sample-0000-582307,2026-05-02T00:00:00Z,721974.52,15
sample-0000-582307,2026-05-04T00:00:00Z,673070.08,12
sample-0000-582307,2026-05-04T00:00:00Z,730308.04,9
sample-0000-582307,2026-05-07T00:00:00Z,742535.81,20
sample-0000-582307,2026-05-08T00:00:00Z,819009.52,27
sample-0000-582307,2026-05-09T00:00:00Z,1035489.18,13
sample-0000-582307,2026-05-09T00:00:00Z,793584.79,23
sample-0000-582307,2026-05-09T00:00:00Z,721448.72,15
sample-0000-582307,2026-05-09T00:00:00Z,755547.71,11
sample-0000-582307,2026-05-10T00:00:00Z,666369.87,23
sample-0000-582307,2026-05-12T00:00:00Z,693865.28,20
sample-0000-582307,2026-05-12T00:00:00Z,719777.12,22
sample-0000-582307,2026-05-13T00:00:00Z,892422.26,25
sample-0000-582307,2026-05-13T00:00:00Z,772383.77,17
sample-0000-582307,2026-05-13T00:00:00Z,687012.66,8
sample-0000-582307,2026-05-15T00:00:00Z,856480.23,19
sample-0000-582307,2026-05-16T00:00:00Z,936690.57,14
sample-0000-582307,2026-05-17T00:00:00Z,1062310.29,22
sample-0000-582307,2026-05-17T00:00:00Z,765895.17,10
sample-0000-582307,2026-05-18T00:00:00Z,885520.99,18
sample-0000-582307,2026-05-18T00:00:00Z,833655.3,22
sample-0000-582307,2026-05-19T00:00:00Z,739349.29,7
sample-0000-582307,2026-05-21T00:00:00Z,897001.12,18
sample-0000-582307,2026-05-21T00:00:00Z,692247.33,18
sample-0000-582307,2026-05-23T00:00:00Z,1104451.74,19
sample-0000-582307,2026-05-25T00:00:00Z,723344.85,24
sample-0000-582307,2026-05-26T00:00:00Z,1047607.77,17
sample-0000-582307,2026-05-27T00:00:00Z,955376.13,21
sample-0000-582307,2026-05-27T00:00:00Z,770842.39,12
sample-0000-582307,2026-06-01T00:00:00Z,707051.85,5
sample-0000-582307,2026-06-01T00:00:00Z,996723.12,1
sample-0000-582307,2026-06-03T00:00:00Z,813824.36,4
sample-0000-582307,2026-06-03T00:00:00Z,1105456.32,8
sample-0000-582307,2026-06-05T00:00:00Z,981813.32,1
sample-0000-582307,2026-06-07T00:00:00Z,885019.72,14
sample-0000-582307,2026-06-07T00:00:00Z,938245.06,1
sample-0000-582307,2026-06-08T00:00:00Z,1028705.73,12
sample-0000-582307,2026-06-09T00:00:00Z,757646.64,2
sample-0000-582307,2026-06-09T00:00:00Z,1149989.51,6
sample-0000-582307,2026-06-10T00:00:00Z,730346.7,1
sample-0000-582307,2026-06-12T00:00:00Z,1021732.01,14
sample-0000-582307,2026-06-13T00:00:00Z,800792.82,2
sample-0000-582307,2026-06-13T00:00:00Z,1047097.79,11
sample-0000-582307,2026-06-13T00:00:00Z,1004426.23,13
sample-0000-582307,2026-06-14T00:00:00Z,814580.77,4
sample-0000-582307,2026-06-14T00:00:00Z,743570.25,6
sample-0000-582307,2026-06-15T00:00:00Z,827804.84,1
sample-0000-582307,2026-06-15T00:00:00Z,1122978.67,7
sample-0000-582307,2026-06-16T00:00:00Z,792960.59,1
